[2026-06-22 15:00:00] [FEATURE] Scaffold inicial | crea estructura agentic/ + installer/ + system/ + docs/ + logs/ (v0.1.0) | modelo: claude-opus-4-8
[2026-06-22 16:00:00] [FEATURE] Capa agentica (S1) | arranque agnostico AGENTS.md (sin .claude) + 16 skills/agentes portados de nubixstore + 6 comandos (/bug /fix /audit /regression /document /report) | modelo: claude-opus-4-8
[2026-06-22 16:30:00] [FEATURE] Nucleo MVC (S1) | autoloader+Env+App+Router+Request+Response+Session+Database+Model+Controller+View+Auth, front controller, config, rutas, htaccess; probado /, /health, 404 | modelo: claude-opus-4-8
[2026-06-22 17:00:00] [FEATURE] Login admin + perfiles (S1) | migracion admin_users + migrate/seed runners, Auth/AdminController guard, AuthController, DashboardController, AdminUserController CRUD, vistas Tailwind/Alpine (login/dashboard/users), Url helper; probado render login + guard 302; flujo DB pendiente MySQL up | modelo: claude-opus-4-8
[2026-06-22 17:30:00] [FEATURE] Cronmaster (S1) | tablas cron_tasks/cron_runs, CronExpression (parser 5 campos), CronRunner, run.php (despachador x minuto), CronController CRUD+toggle+runNow, vistas, README SO; parser 11/11 tests OK, guard 302 OK | modelo: claude-opus-4-8
[2026-06-22 18:00:00] [FEATURE] Emails (S1) | tablas settings/email_log, Settings service, SmtpMailer (cliente SMTP propio AUTH LOGIN+STARTTLS/SSL), Mailer facade con log, MailController (config+prueba+historial), vistas; error-path SMTP OK sin excepcion, guard 302 OK | modelo: claude-opus-4-8
[2026-06-22 18:30:00] [FEATURE] Backups (S1) | tabla backup_log, Backup service (dump SQL en PHP puro + ZIP archivos + restore + retencion + safePath), run.php CLI, BackupController (crear/descargar/restaurar/eliminar), vista, README; backup de archivos ZIP real 163 entradas OK, traversal rechazado, guard 302 OK | modelo: claude-opus-4-8
[2026-06-22 19:00:00] [FEATURE] Graficos+Dashboard (S1) | Charts service (bar/doughnut/line), partial chart.php reutilizable (Chart.js CDN), DashboardController con stats reales resilientes (admins/cron/emails/backups + emails 7 dias), dashboard con cards+3 graficos; Charts+partial probados (canvas/new Chart/JSON), guard 302 OK | modelo: claude-opus-4-8
[2026-06-22 19:30:00] [FEATURE] File manager (S1) | FileManager service (anti path-traversal, carpetas/subcarpetas, upload, mkdir, delete recursivo, breadcrumb), FilesController, vista con navegacion+upload+mkdir+download+delete, rutas+menu; 13/13 tests reales OK, guard 302 OK | modelo: claude-opus-4-8
[2026-06-22 20:00:00] [FEATURE] Conector IA (S1) | tabla ai_log, Http helper (curl+fallback), AiConnector (OpenAI/Deepseek chat completions, config resiliente, log best-effort), AiController (config+prueba), vista, rutas+menu; 7/7 tests OK (sin key/host muerto sin excepcion), guard 302 OK | modelo: claude-opus-4-8
[2026-06-22 20:30:00] [DOCS] Cierre MVP (S1) | features-resume + bugs-resume init + docs/INSTALL.md, README estado MVP, roadmap v0.2/v1.0 completos; verificacion global: 62 .php lint OK, smoke / /health /admin/login 200 + guard 302 | modelo: claude-opus-4-8
[2026-06-22 21:00:00] [FEATURE] DB 3307 + Release 1.0.0 | .env a puerto 3307, migrate(5)+seed OK, login end-to-end (CSRF+cookie->dashboard 200, 3 graficos), CRUD perfiles, dump real (8 tablas), escritura web cron OK; VERSION=1.0.0, README/roadmap/features-resume a 1.0.0 | modelo: claude-opus-4-8
[2026-06-22 21:30:00] [FEATURE] Landing v1.0.0 (S1) | landing/index.html (sintesis+features+guia+descarga, Tailwind CDN), build-download.php (genera ZIP excluyendo .env/runtime), README landing, gitignore downloads; ZIP real 189 archivos/175KB (incluye AGENTS/nucleo/landing, sin .env), landing 200 + zip servido application/zip | modelo: claude-opus-4-8
[2026-06-22 22:00:00] [FEATURE] Suite de tests A6 (v1.1) | runner tests/run.php + bootstrap (it/assert*/group), unit: CronExpression/FileManager/Charts/Connectors, feature: Database; comando /test; 37/37 PASS (incl. MySQL 3307); roadmap v1.1-v1.4 cargado (22 fases) | modelo: claude-opus-4-8
[2026-06-22 22:30:00] [FEATURE] A1 cifrado credenciales (v1.1) | Core\Crypto (AES-256-GCM, APP_KEY), Settings.setSecret + descifrado auto en get/group, Mail/AI guardan secretos cifrados, console/key.php, APP_KEY en .env; +7 tests (44/44 PASS incl. round-trip cifrado en MySQL) | modelo: claude-opus-4-8
[2026-06-22 23:00:00] [FEATURE] A2 hardening login (v1.1) | migracion login_attempts, LoginThrottle (5 intentos -> lockout 15min), integrado en AuthController, ProfileController (mi-perfil + cambiar password propia), vista, link en topbar; +2 tests (46/46); e2e: cambio pass ida/vuelta + lockout bloquea pass correcta OK | modelo: claude-opus-4-8
[2026-06-22 23:30:00] [FEATURE] A3 recuperacion password (v1.1) | migracion password_resets, PasswordReset service (token hash sha256 + TTL 1h, un uso, sin user-enumeration), ForgotPasswordController (forgot/reset), vistas, enlace en login, dev-link en debug; +3 tests (49/49); e2e completo OK (reset + reuso rechazado) | modelo: claude-opus-4-8
